signature,technique_id,technique_name,tactic,description
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.meeps .us domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mefound .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mega-link .cl Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.megaingenieria .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.megajournal .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.megaokazii .ro domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.meier .li Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.melakaboy .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.melaniebest .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.memoryguide .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.merrittcredit .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.merseine .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.merseine .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mesca .ro domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.meteotodi .it domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.metrojoinery .com .au domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mexicommerce .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mfc-krsulin .ru domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.michaelfoody .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.michiganbowling .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.midjava .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.miguelrsilva .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mikata .ru Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mikealesso .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.milk .is Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.millalen .cl domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.millersmobilemarine .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mindboggle .us domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mindhackers .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mine .bz Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mine .nu Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mine .tk Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.minecraft .id .lv Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.minecraft .pe Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.minecraftnoob .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.minecraftpotato .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.minecraftr .us Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.minetest .land Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.misconfused .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.misecure .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.missouriprobate .biz domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.misty-vale .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mitcpw .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mjfinancialservices .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mjfuentes .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mji .ro Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mjureta .cl domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mkahowes .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mlbfan .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mmafan .biz Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mmsalles .com .br domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mnode .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.moabphoto .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mobile-node .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.modburypress .com .au domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.modernpotterystudio .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mohearn .co .uk domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.moldeo .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.moldeointeractive .com .ar Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.molgas .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mollo .com .ar domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mollypornstar .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.molotov-thought .net domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.moneyhome .biz Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mongow .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.monitoryourinternet .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.monkeyconveyancing .net domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.monkeyconveyancing .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.monkeywerks .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.monkeywills .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.monobasin .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.monopolecorp .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.monopolepower .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.montesmdq .com .ar domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.montyconsulting .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.moochurch .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.moonangel .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mooo .info Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.moot .es Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.morganisageek .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mori-baum .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.motoretta .ca Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.motorwisemechanical .com .au Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mounthoodlodges .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mouregazet .com .ar domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mov Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.movdivx .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mp3real .ru Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mr24 .co domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mrbasic.com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mrbonus .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mrcork .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mrface .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mrgshrimp .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mrlewburger .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mrslove .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.msspsparaguay .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mtcouros .com .br domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mtrshop .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mudchute .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mudonghoi .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.muguro .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mukeshbasnet .com .np domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.multicop .com .ar Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.multiverso .info Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mundra .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mushkoorfoods .co .uk domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.muskaengsarl .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mutluay .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mutsuura .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mvle .com .ar domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mw .nom .za Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mwheller .co .uk domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.my .to Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myactivedirectory .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mycrossfire .net domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mydad .info Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myddns .biz Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myddns .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myddns.me Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mydev .co .za domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mydissent .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myeffect .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myers-usa .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myftp .biz Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myftp .info Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myftp .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mygadgets .com .ar domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myhomedns .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myhousesetup .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myiphost .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myjamesonline .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mylftv .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mylocallan .de domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mylogisoft .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mymediapc .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mymom .info Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mymywant .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mynetav .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mynetav .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mynetav .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mynumber .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myogaya .jp Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myowndamnnode .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mypets .ws Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myphotos .cc Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mypi .co Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mypicture .info Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mypjnr .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mypop3 .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mypop3 .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mypsx .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mysaol .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mysecondarydns .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mysecuritycamera .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mysecuritycamera .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mysecuritycamera .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mystakidis .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mysynology .net Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mytunnel .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mywire .org Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mywww .biz Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.myz .info Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.mza .com .ar Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.n-e-t .name Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.n-et .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.n0p .at Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.n43 .pw Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.n4t .co Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.naberinc .net domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.nanobit .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.nard .ca Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.nathan .to Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.nau .us Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.navigogroup .cl Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.navnirwana .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.nchez .mx Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.ncknms .com domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.nda .dj Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.ndra .biz Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.ne-t .org domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
ET DYN_DNS DYNAMIC_DNS HTTP Request to a *.neat-url .com Domain,T1568,Dynamic Resolution,Command And Control,Mapped from ET Open rule metadata.
