signature,technique_id,technique_name,tactic,description
ET ADWARE_PUP Installer Analytics Checkin (POST),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Kuwo Music Installer Log,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Lantern Checkin,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Likely Trojan/Spyware Installer Requested (1),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP Likely Trojan/Spyware Installer Requested (2),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP MALWARE W32/WinWrapper.Adware POST CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP Morpheus Spyware Install User-Agent (SmartInstaller),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP MSIL/Adload.AT Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP my247eshop .com User-Agent,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Niagara Software Update Check,T1205,Traffic Signaling,Persistence,Mapped from ET Open rule metadata.
ET ADWARE_PUP Nivesro Cheat CnC Activity M1,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP NivesroCheat CnC Activity M2,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP Observed Activity Monitoring/Keylogger Domain (mipko .ru in TLS SNI),T1082,System Information Discovery,Discovery,Mapped from ET Open rule metadata.
ET ADWARE_PUP Observed Activity Monitoring/Keylogger Domain (refog .com in TLS SNI),T1082,System Information Discovery,Discovery,Mapped from ET Open rule metadata.
ET ADWARE_PUP Onestart AI Host Profile Checkin (POST),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Onestart AI Program Version Checkin (POST),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Overpro Spyware Install Report,T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP Potentially Unwanted Application AirInstaller CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP PUP TheSZ AutoUpdate CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP PUP Win32/Conduit.SearchProtect.O CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP RelevantKnowledge Adware CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP Searchmeup Spyware Install (mstask),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP Searchmeup Spyware Install (prog),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP Searchmeup Spyware Install (systime),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP Searchmiracle.com Spyware Install (protector.exe),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP Searchmiracle.com Spyware Install (silent_install),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP Searchmiracle.com Spyware Installer silent.exe Download,T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP SecureDriverUpdater Checkin,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Shop at Home Select Spyware User-Agent (Bundle),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Shop at Home Select Spyware User-Agent (SAH),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Shopathomeselect .com Spyware User-Agent (WebDownloader),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Socelars Related Domain in DNS Lookup,T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP SoundCloud Downloader Install Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP Surfaccuracy.com Spyware Install User-Agent (SF Installer),T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP ThunderUnion Install Checkin,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/Eorezo.Adware CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/InstallRex.Adware Initial CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/InstallRex.Adware Report CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/Linkular.Adware Successful Install Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/Linkular.Adware Successful Install Beacon (2),T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/PicColor Adware CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/PullUpdate.Adware CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/RocketfuelNextUp.Adware CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/SearchSuite Install CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/Softpulse PUP Install Failed Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/Stan Malvertising.Dropper CnC Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP W32/WinWrapper.Adware Initial Install Beacon,T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET ADWARE_PUP Win32/DownWare.V Checkin,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Win32/MobiGame Install Stats Checkin M1,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Win32/MobiGame Install Stats Checkin M2,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Win32/MobiGame Install Stats Checkin M3,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP WiseCleaner Installed (PUA),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET ADWARE_PUP Xpire.info Spyware Install Reporting,T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP yupsearch.com Spyware Install - protector.exe,T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP yupsearch.com Spyware Install - sideb.exe,T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ADWARE_PUP Zenotecnico Spyware Install Report,T1005,Data from local system,Collection,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE 123Stealer Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE ASP.NET Web BackDoor Webshell Title Banner Observed,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Braodo Loader Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE ClickFix MSHTA Command Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE ClickFix Obfuscated Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE ClickFix Related Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE ClickFix Webpage Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Crpx0 Ransomware Payload Inbound (Launcher),T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Crpx0 Ransomware Payload Inbound (Mac_pro_build),T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE EtherHiding Payload Delivery Script Observed Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Eval Hex Obfuscated JS Inbound,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE GETA RAT Obfuscated Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Grizzly Loader PowerShell Script Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE IceCube JS Backdoor Payload,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE InstallFix MacOS Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE JScriptToPowerShell Obfuscator Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Koi Loader/Stealer CnC Config Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Koi Loader/Stealer Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE KoiStealer Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Likely ClickFix Related Staging Domain,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Lumma Stealer Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE MacSync Stealer Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE MacSync Stealer Payload Inbound M1,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE MacSync Stealer Payload Inbound M2,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE MacSync Stealer Stage 2 Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Batch Script Inbound M1,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Batch Script Inbound M2,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String (Single Q) 1,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String (Single Q) 2,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
